componentId,sensor_count
24,59
37,13
87,13
140,12
8,11
53,10
148,10
119,9
214,8
228,8
103,7
167,7
0,6
179,6
194,6
222,6
57,5
204,4
210,4
251,4
19,3
50,3
100,3
158,3
174,3
191,3
240,3
6,2
22,2
62,2
64,2
79,2
110,2
138,2
161,2
177,2
236,2
238,2
243,2
249,2
